Barrio,DESTINO,cantidad_ocio_comercio,cantidad_oficinas,cantidad_residencial,centros_docentes,distancia_al_mar,nivel_socio_economico,Valor/m2_predicho
FLORIDA BAJA,EDIF. SINGULAR,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.6230228111808058
FLORIDA BAJA,ESPECTACULOS,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.6337320209944151
FLORIDA BAJA,INDUSTRIAL,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.6612286392162292
FLORIDA BAJA,OCIO-HOSTELERIA,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.6337320209944151
FLORIDA BAJA,OFICINA,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.5344189278640414
FLORIDA BAJA,PUERTOS COMERC.,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.619809275524281
FLORIDA BAJA,RELIGIOSO,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.6337320209944151
FLORIDA BAJA,RESIDENCIAL,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.6548215583419383
FLORIDA BAJA,"SANIDAD,BENEF.",0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.5958743152419492
FLORIDA BAJA,SOLARES,0.6584588394090857,0.008370834672666668,0.6094617676108648,0.17391304347826086,0.6697872517234661,0.34813909263787013,0.6855691471535295
GARBINET,COMERCIO,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.6123591542441091
GARBINET,CULTURAL,0.2936350625178104,0.03461762221265868,0.49830526041053425,0.2608695652173913,0.6593906258823561,0.08795164357511553,0.6792648014691056
